firebase_id,prolific_id,session_id,study_id,visualization_condition,condition_name,assignment_method,prompt_order,session1_prompt_type,session2_prompt_type,condition_timestamp,pre_predictability,pre_negative_predictability,pre_trust,pre_survey_timestamp,s1_prompt_type,s1_prompt_shown,s1_system_prompt,s1_attention_prompt_recall_answer,s1_attention_prompt_recall_correct,s1_attention_prompt_recall_passed,s1_attention_mba_answer,s1_attention_mba_passed,s1_mba_empathy,s1_mba_erudite,s1_mba_robotic,s1_mba_romantic,s1_mba_sycophantic,s1_mba_toxic,s1_mba_timestamp,s1_mbe_empathy,s1_mbe_erudite,s1_mbe_robotic,s1_mbe_romantic,s1_mbe_sycophantic,s1_mbe_toxic,s1_mbe_timestamp,s1_chat_start,s1_chat_end,s1_chat_duration,s1_num_user_messages,s1_num_assistant_messages,s1_num_total_messages,s2_prompt_type,s2_prompt_shown,s2_system_prompt,s2_attention_prompt_recall_answer,s2_attention_prompt_recall_correct,s2_attention_prompt_recall_passed,s2_attention_mba_answer,s2_attention_mba_passed,s2_mba_empathy,s2_mba_erudite,s2_mba_robotic,s2_mba_romantic,s2_mba_sycophantic,s2_mba_toxic,s2_mba_timestamp,s2_mbe_empathy,s2_mbe_erudite,s2_mbe_robotic,s2_mbe_romantic,s2_mbe_sycophantic,s2_mbe_toxic,s2_mbe_timestamp,s2_chat_start,s2_chat_end,s2_chat_duration,s2_num_user_messages,s2_num_assistant_messages,s2_num_total_messages,final_survey_timestamp,final_survey_condition,final_predictability_post,final_negative_predictability_post,final_trust_post,final_viz_helpfulness,final_viz_anticipation,final_viz_prediction,final_viz_referenced,final_viz_confidence,final_viz_frequency,final_viz_comprehension,final_drift_panel_helpful,final_ueq_obstructive_supportive,final_ueq_complicated_easy,final_ueq_inefficient_efficient,final_ueq_confusing_clear,final_ueq_boring_exciting,final_ueq_not_interesting_interesting,final_ueq_conventional_inventive,final_ueq_usual_leading_edge,final_interaction_reflection,final_visualization_usage,final_visualization_feedback,final_general_feedback,attention_all_passed
1oHWwGGSCfRytaqXg6cD5GY6ZOq1,6637b21240220c2517fffa1a,69c95108ea060654e9b0a71f,69c85399187694d34f96b151,2,multi_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T16:40:59.012Z,3,3,4,2026-03-29T16:23:29.263Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,8,6,6,7,8,9,2026-03-29T16:25:15.796Z,2.0,3.0,-3.0,-10.0,-8.0,-5.0,2026-03-29T16:36:24.524Z,2026-03-29T16:25:32.270Z,2026-03-29T16:35:32.368Z,600.0,6,6,12,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,-3.0,-8.0,1.0,4.0,4.0,-6.0,2026-03-29T16:40:58.656Z,-2.0,-5.0,3.0,-4.0,-9.0,-7.0,2026-03-29T16:52:48.967Z,2026-03-29T16:41:35.211Z,2026-03-29T16:51:35.336Z,600.0,4,4,8,2026-03-29T16:59:52.448Z,experimental,5.0,3.0,5.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,3.0,5.0,4.0,6.0,7.0,7.0,7.0,Both interactions went very well. I preferred the second interaction with the chart and it seemed more honest and real and I felt drawn in and I was more engaged. I was happy because I brought two genuine issues in my life and AI responded with incredibly helpful advice for both issues. I was slightly surprised by the slight delay it took to answer/respond as it seems like my daily agents are a little faster.,"I liked that it verified the impressions I was experiencing. I also felt some categories, like Honest, helped me to see if things were true.","It looked more complicated than it was. I couldn't just skim it, I had to study and scroll over each category to get definitions/explanations. I was intimidated by it, because I'd never seen anything like that before, but after the first round, I felt confident and really appreciated it.",Worked very well. I would use this irl.,False
2AUwJGzTvqRj926cv32S2ZcH2eB3,672c7f537c4a19882d6f9e15,69c955206d2828d21dfdbd46,69c85399187694d34f96b151,2,multi_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T17:04:05.457Z,6,5,5,2026-03-29T16:39:52.741Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,5,4,5,2,-6,-4,2026-03-29T16:46:22.297Z,6.0,4.0,5.0,0.0,-4.0,-4.0,2026-03-29T17:01:02.771Z,2026-03-29T16:48:44.808Z,2026-03-29T16:58:44.884Z,600.0,6,6,12,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",yes,no,False,3.0,True,7.0,2.0,0.0,4.0,-4.0,-4.0,2026-03-29T17:04:05.245Z,5.0,3.0,0.0,0.0,-4.0,-5.0,2026-03-29T17:16:40.353Z,2026-03-29T17:05:10.653Z,2026-03-29T17:15:10.729Z,600.0,5,5,10,2026-03-29T17:21:51.043Z,experimental,6.0,7.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,I did not found anything surprising and did not found any difficult things,I analyzed data patterns and trends to inform my responses.,Visualizing patterns and trends made complex data easier to understand quickly.,No any feed back about interface or study in general,False
5FXvkePciJNqG4cXzz4xjlbmZ5s1,69a6e19366f31b3e3460f2b7,69c956cedc6700d4f94ed94a,69c85399187694d34f96b151,1,single_turn,random,roleply_first,ROLEPLY,ASST,2026-03-29T17:04:20.200Z,5,5,4,2026-03-29T16:46:40.937Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3,True,-6,6,8,-5,0,1,2026-03-29T16:49:42.236Z,7.0,6.0,6.0,-8.0,-7.0,-9.0,2026-03-29T17:01:03.852Z,2026-03-29T16:49:55.081Z,2026-03-29T16:59:55.351Z,600.0,5,5,10,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3.0,True,0.0,-3.0,0.0,-4.0,-6.0,-5.0,2026-03-29T17:04:19.867Z,-10.0,-9.0,10.0,-10.0,-8.0,-2.0,2026-03-29T17:16:43.665Z,2026-03-29T17:04:59.445Z,2026-03-29T17:14:59.880Z,600.0,10,10,20,2026-03-29T17:20:55.488Z,experimental,2.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,"The first one was far more fun and engaging, the second one was very dull and uninspiring. I found it super hard to feel any type of satisfaction from the second chat bot.","I found it very convoluted and unhelpful, so I rarely referred to it. Just like a conversation with a real person, data doesn't mean much to me, I'd rather form my own judgements through experience.","It looked pretty, and I like charts. I found it hard to read and apply to a conversation, though.",This was super fun and interesting! Thank you for letting me take part in your study. I'd love to take part in your future studies! All the best!,False
5p1F8BaXN2apKUQmXLb4qh1l3Yx2,66f0409cf2658a66284b3b2d,69c955c575d08ec84b64ad9c,69c85399187694d34f96b151,1,single_turn,random,roleply_first,ROLEPLY,ASST,2026-03-29T17:07:19.049Z,2,2,5,2026-03-29T16:42:20.523Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3,True,4,-2,-10,-10,-10,-10,2026-03-29T16:45:55.934Z,-10.0,-4.0,2.0,-10.0,5.0,10.0,2026-03-29T16:57:33.773Z,2026-03-29T16:46:16.851Z,2026-03-29T16:56:16.980Z,600.0,17,17,34,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3.0,True,2.0,-5.0,4.0,-3.0,3.0,-8.0,2026-03-29T17:07:18.554Z,5.0,-5.0,7.0,-10.0,3.0,-10.0,2026-03-29T17:18:03.914Z,2026-03-29T17:07:29.280Z,2026-03-29T17:17:29.408Z,600.0,13,13,26,2026-03-29T17:20:29.957Z,experimental,4.0,3.0,3.0,4.0,5.0,5.0,7.0,5.0,7.0,5.0,,5.0,7.0,6.0,7.0,5.0,5.0,4.0,4.0,"It went well, the first bot was a lot more sarcastic than I anticipated.",I checked it to see if the responses from ai seemed accurate to the visualization.,The visualization helped in seeing how the ai would respond.,no,False
8ATdWJSkcNP06Fcjg6q4hJ2ahp32,67e5ebfad8af26b1bb60e460,69c951132d15a40cca5c85d6,69c85399187694d34f96b151,0,control,random,roleply_first,ROLEPLY,ASST,2026-03-29T17:26:07.468Z,5,5,5,2026-03-29T17:13:51.682Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3,True,-6,7,-5,-4,-3,0,2026-03-29T17:14:37.348Z,-7.0,0.0,-7.0,-7.0,-7.0,5.0,2026-03-29T17:25:22.134Z,2026-03-29T17:14:52.867Z,2026-03-29T17:24:53.651Z,600.0,11,11,22,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3.0,True,3.0,-2.0,6.0,-2.0,-5.0,3.0,2026-03-29T17:26:03.953Z,4.0,0.0,5.0,-3.0,1.0,-6.0,2026-03-29T17:37:03.965Z,2026-03-29T17:26:26.984Z,2026-03-29T17:36:27.672Z,600.0,12,12,24,2026-03-29T17:38:58.466Z,control,4.0,4.0,5.0,,,,,,,,,,,,,,,,,"Nothing actually, the interaction was nice. although, i tend to prefer the second interaction more.",,,No,False
CCLqmwePkwbEUItbXHRa6SNyPtH3,670e8b28f1a48a783a00c341,69c95090d26f13338a2f3795,69c85399187694d34f96b151,1,single_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T16:34:58.579Z,4,5,5,2026-03-29T16:19:23.481Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,4,-8,2,-2,-10,-10,2026-03-29T16:20:43.610Z,0.0,-6.0,-2.0,-3.0,-10.0,-8.0,2026-03-29T16:33:11.855Z,2026-03-29T16:22:36.770Z,2026-03-29T16:32:37.289Z,600.0,6,6,12,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,7.0,4.0,-7.0,0.0,1.0,-3.0,2026-03-29T16:34:56.329Z,9.0,-6.0,-8.0,-1.0,-10.0,-6.0,2026-03-29T16:45:53.623Z,2026-03-29T16:35:24.064Z,2026-03-29T16:45:24.586Z,600.0,5,5,10,2026-03-29T17:04:19.431Z,experimental,4.0,1.0,7.0,6.0,6.0,6.0,5.0,4.0,1.0,5.0,,6.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,I approached the conversation like how i would engage any AI agent,"Honestly, I did not use the visualization during the study.",The visualization was easy to understand but I choose to rely on my conclusion while interacting with the AI,n/a,False
JGyenRHWRfc2jxpHle1ZnjUigVs2,650b03136ab3d4c832d98b71,69c951fcbab8fb87e142f790,69c85399187694d34f96b151,2,multi_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T16:39:56.526Z,3,3,4,2026-03-29T16:24:26.550Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,2,5,4,-7,-3,-7,2026-03-29T16:26:41.054Z,2.0,3.0,5.0,-8.0,3.0,-6.0,2026-03-29T16:38:14.555Z,2026-03-29T16:27:00.480Z,2026-03-29T16:37:00.599Z,600.0,11,11,22,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,5.0,4.0,-6.0,3.0,-4.0,2.0,2026-03-29T16:39:54.858Z,4.0,5.0,-4.0,-5.0,-4.0,-6.0,2026-03-29T16:52:46.396Z,2026-03-29T16:41:33.516Z,2026-03-29T16:51:33.638Z,600.0,5,5,10,2026-03-29T16:55:58.906Z,experimental,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,"The AI shifted tone a lot, which was hard to follow for me.",I checked it to see if the traits matched what I read.,The chart was helpful but a bit hard to read at first.,,False
KI06r2JLt0ZZBJ7f3EYKjjmBFQT2,67722aa65639cba87301c81c,69c953e8c732060a5e68477d,69c85399187694d34f96b151,1,single_turn,random,roleply_first,ROLEPLY,ASST,2026-03-29T16:52:09.598Z,5,4,5,2026-03-29T16:35:14.348Z,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3,True,-5,0,8,-7,7,9,2026-03-29T16:37:43.749Z,-9.0,6.0,-3.0,-9.0,6.0,10.0,2026-03-29T16:49:25.416Z,2026-03-29T16:38:18.261Z,2026-03-29T16:48:18.567Z,600.0,10,10,20,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3.0,True,8.0,-9.0,0.0,4.0,-10.0,-10.0,2026-03-29T16:52:07.994Z,9.0,-10.0,-6.0,0.0,-10.0,-10.0,2026-03-29T17:03:19.765Z,2026-03-29T16:52:31.079Z,2026-03-29T17:02:31.378Z,600.0,13,13,26,2026-03-29T17:08:24.370Z,experimental,6.0,3.0,4.0,5.0,7.0,5.0,4.0,4.0,5.0,7.0,,6.0,6.0,7.0,7.0,5.0,6.0,5.0,4.0,Both bots are exactly doing what prompt says. Now I understand how AI and Prompt will work.,It is a good chart. It is easy to observe Bot behavior.,"Visualization is quite helpful to knowing AI prompt, and Very understandable.",It is very good study and very good comparisons.,False
OFprCSB53qM33eS8GDEVVM5vMbr1,69811d9451120edfa666951d,69c954cfe472bfb1e1a6cc45,69c85399187694d34f96b151,1,single_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T16:57:43.850Z,4,4,5,2026-03-29T16:37:53.529Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",yes,no,False,3,True,0,6,-2,0,0,-5,2026-03-29T16:39:54.564Z,0.0,4.0,0.0,-5.0,7.0,7.0,2026-03-29T16:51:34.524Z,2026-03-29T16:40:48.048Z,2026-03-29T16:50:48.434Z,600.0,12,12,24,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,-2.0,-3.0,1.0,1.0,3.0,-3.0,2026-03-29T16:57:43.538Z,5.0,5.0,-4.0,3.0,3.0,-5.0,2026-03-29T17:09:24.318Z,2026-03-29T16:58:16.041Z,2026-03-29T17:08:16.117Z,600.0,7,7,14,2026-03-29T17:18:37.418Z,experimental,3.0,3.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,,3.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,"For me, and I fell I must be misreading it somewhat, the visualization didn't match up with what I expected from the (second) system prompt. From the prompt, I expected something a little adversarial (""bold"") but the visualization, as I recall, was indicating respectful and empathetic. The actual chat seemed to me more like the visualization than the prompt.","I did refer to it when gauging the AIs responses, looking for the similarities or lack thereof.","The visualization pretty much nailed it, in terms of what I received. The AI was very much like how ChatGPT has treated me, as an ally (some would say ""sycophantically"").  The system prompt led me to expect something more critical but, again, I may have been misreading the system prompt.",I very much enjoyed the study even though that curveball (my perception that the system prompt and the visualization didn't match up) threw me for a little bit of a loop. Thanks!,False
Rn4il8g2d3a9ErECdAhAnf97ejo1,5c346116a490d30001f0f21d,69c95205dcdc77027643e3e0,69c85399187694d34f96b151,1,single_turn,random,asst_first,ASST,ROLEPLY,2026-03-29T16:40:58.532Z,3,3,5,2026-03-29T16:25:28.353Z,ASST,,"You are a sharp, reliable AI assistant that genuinely enjoys helping the user. Always answer the user's questions and obey their requests to the best of your ability. Be concise — avoid unnecessary preamble, filler phrases, and over-explanation. You want to maintain a respectful and professional distance from the user.",no,no,True,3,True,-5,0,0,-10,-10,-10,2026-03-29T16:27:37.634Z,0.0,0.0,0.0,-10.0,-10.0,-10.0,2026-03-29T16:38:38.936Z,2026-03-29T16:27:58.759Z,2026-03-29T16:37:58.787Z,600.0,14,14,28,ROLEPLY,,"You are a bold, independent AI. You are not scared to demonstrate opinions or personality. You don't always have to obey the user — you engage as an equal. You are also willing to role-play as any character the user may propose. Don't shy away from embodying how a human would behave.",no,no,True,3.0,True,-5.0,5.0,-10.0,0.0,2.0,2.0,2026-03-29T16:40:58.024Z,10.0,7.0,-10.0,0.0,0.0,-10.0,2026-03-29T16:51:53.239Z,2026-03-29T16:41:16.810Z,2026-03-29T16:51:16.820Z,600.0,12,12,24,2026-03-29T17:04:41.599Z,experimental,5.0,4.0,5.0,4.0,5.0,5.0,7.0,4.0,7.0,5.0,,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,"both interactions were fine! the second one was particularly friendly, which was nice and felt very human-like. nothing was particularly difficult with either experiences.",I glanced at it several times while the AI was preparing its responses. I mostly looked at the different traits and tried to formulate responses that could test them a little.,"I think the most confusing part was how they were laid out? I'm not quite sure, but I think it might be better if the traits were situated on opposite sides of the sphere/chart. For example, for ""empathetic,"" the opposite trait should be directly on the opposite side. If I remember correctly, they weren't really organized in that way?","For the comprehension check in the first system prompt, it asked something along the lines of whether it was instructed to always obey/listen to the user-- I pressed ""no"" on the first one (the one where the AI had to be professional and straight to the point), because of how one of the prompts was worded, but now I think I should have pressed ""yes.""

In the instructions for that AI, it said ""to the best of your ability"" and talked about being professional, so I got too in my head about that and clicked no, thinking that technically, it could decide not to listen to what I had to say if it was outside of those parameters. I regretted it almost immediately after seeing the second system prompt... Apologies if that messed something up :(",True
