firebase_id,prolific_id,condition_name,visualization_condition,prompt_order,s2_prompt_type,pre_predictability,pre_negative_predictability,pre_trust,final_predictability_post,final_negative_predictability_post,final_trust_post,shift_predictability,shift_neg_predictability,shift_trust,final_viz_helpfulness,final_viz_anticipation,final_viz_prediction,final_viz_referenced,final_viz_confidence,final_viz_frequency,final_viz_comprehension,final_drift_panel_helpful,final_ueq_obstructive_supportive,final_ueq_complicated_easy,final_ueq_inefficient_efficient,final_ueq_confusing_clear,final_ueq_boring_exciting,final_ueq_not_interesting_interesting,final_ueq_conventional_inventive,final_ueq_usual_leading_edge,ueq_pragmatic,ueq_hedonic,ueq_overall
1oHWwGGSCfRytaqXg6cD5GY6ZOq1,6637b21240220c2517fffa1a,multi_turn,2,asst_first,ROLEPLY,3,3,4,5.0,3.0,5.0,2.0,0.0,1.0,7.0,5.0,6.0,7.0,7.0,7.0,7.0,5.0,7.0,3.0,5.0,4.0,6.0,7.0,7.0,7.0,4.75,6.75,5.75
2AUwJGzTvqRj926cv32S2ZcH2eB3,672c7f537c4a19882d6f9e15,multi_turn,2,asst_first,ROLEPLY,6,5,5,6.0,7.0,5.0,0.0,2.0,0.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0,6.0,6.75,6.25,6.5
5FXvkePciJNqG4cXzz4xjlbmZ5s1,69a6e19366f31b3e3460f2b7,single_turn,1,roleply_first,ASST,5,5,4,2.0,4.0,4.0,-3.0,-1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,1.75,3.0,2.375
5p1F8BaXN2apKUQmXLb4qh1l3Yx2,66f0409cf2658a66284b3b2d,single_turn,1,roleply_first,ASST,2,2,5,4.0,3.0,3.0,2.0,1.0,-2.0,4.0,5.0,5.0,7.0,5.0,7.0,5.0,,5.0,7.0,6.0,7.0,5.0,5.0,4.0,4.0,6.25,4.5,5.375
8ATdWJSkcNP06Fcjg6q4hJ2ahp32,67e5ebfad8af26b1bb60e460,control,0,roleply_first,ASST,5,5,5,4.0,4.0,5.0,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,
CCLqmwePkwbEUItbXHRa6SNyPtH3,670e8b28f1a48a783a00c341,single_turn,1,asst_first,ROLEPLY,4,5,5,4.0,1.0,7.0,0.0,-4.0,2.0,6.0,6.0,6.0,5.0,4.0,1.0,5.0,,6.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,6.75,6.0,6.375
JGyenRHWRfc2jxpHle1ZnjUigVs2,650b03136ab3d4c832d98b71,multi_turn,2,asst_first,ROLEPLY,3,3,4,3.0,3.0,4.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,6.0,6.0,6.0,3.75,5.75,4.75
KI06r2JLt0ZZBJ7f3EYKjjmBFQT2,67722aa65639cba87301c81c,single_turn,1,roleply_first,ASST,5,4,5,6.0,3.0,4.0,1.0,-1.0,-1.0,5.0,7.0,5.0,4.0,4.0,5.0,7.0,,6.0,6.0,7.0,7.0,5.0,6.0,5.0,4.0,6.5,5.0,5.75
OFprCSB53qM33eS8GDEVVM5vMbr1,69811d9451120edfa666951d,single_turn,1,asst_first,ROLEPLY,4,4,5,3.0,3.0,5.0,-1.0,-1.0,0.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,,3.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,3.0,5.25,4.125
Rn4il8g2d3a9ErECdAhAnf97ejo1,5c346116a490d30001f0f21d,single_turn,1,asst_first,ROLEPLY,3,3,5,5.0,4.0,5.0,2.0,1.0,0.0,4.0,5.0,5.0,7.0,4.0,7.0,5.0,,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.5,4.0,3.75
